name,address,citystate,zip,phone,web,email,target_type,target_value,program_type,category,subcategory,alt_name
FOOD LITERACY PROJECT AT OXMOOR,9001 Limehouse Lane,Louisville KY,40222,"[""(502) 491-0072""]",http://foodliteracyproject.org/programs/youth-community-agriculture-program,mailto:kitty@foodliteracyproject.org,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,YOUTH ENRICHMENT PROGRAMS,YOUTH COMMUNITY AGRICULTURE PROGRAM,
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,4018 W Market Street,Louisville KY,40212,"[""(502) 485-3823"", ""(502) 485-8326"", ""(502) 485-3767""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - ACADEMY AT SHAWNEE
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,3000 Dundee Road Atherton High School,Louisville KY,40205,"[""(502) 485-1521"", ""(502) 485-8202"", ""(502) 485-6020""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - ATHERTON HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,9801 Blue Lick Road Blue Lick Elementary School,Louisville KY,40229,"[""(502) 966-9524"", ""(502) 485-8287""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - BLUE LICK ELEMENTARY / KNIGHT MIDDLE SCHOOLS
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,1130 W Chestnut Street Central High School,Louisville KY,40203,"[""(502) 485-8226"", ""(502) 485-6673"", ""(502) 485-7034""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - CENTRAL HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,500 W Gaulbert Avenue Cochran Elementary School,Louisville KY,40208,"[""(502) 485-8272"", ""(502) 595-7518"", ""(502) 485-8635""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - COCHRAN ELEMENTARY SCHOOL / JEFFERSON COUNTY TRADITIONAL MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,6300 Terry Road Conway Middle School,Louisville KY,40258,"[""(502) 485-7105"", ""(502) 485-8233"", ""(502) 485-8076""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - CONWAY MIDDLE SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,303 Gatehouse Lane Crosby Middle School,Louisville KY,40243,"[""(502) 253-6473"", ""(502) 485-8243"", ""(502) 485-8235""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - CROSBY MIDDLE SCHOOL / EASTERN HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,7601 Saint Andrews Church Road Doss High School,Louisville KY,40214,"[""(502) 485-8239"", ""(502) 485-7120"", ""(502) 485-7159""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - DOSS HIGH SCHOOL
JEFFERSON COUNTY PUBLIC SCHOOLS - LLM - 55K,1001 Fairdale Rd Fairdale High school,Louisville KY,40118,"[""(502) 485-8248"", ""(502) 485-8866"", ""(502) 485-8761""]",http://www.jefferson.kyschools.us/programs/FRYSC/welcome.html,,Target%20Populations,Children/Youth,Summer%20Youth%20Employment%20Programs,FAMILY SUPPORT PROGRAMS,YOUTH SERVICE CENTER,JEFFERSON COUNTY PUBLIC SCHOOLS - FAIRDALE HIGH SCHOOL
